x;f_isprime;f_mu;f_pi;f_li;f_r<100>
17.137;7;8.92475;6.61;
17.236;7;8.95956;6.63836;
17.335;7;8.9943;6.66668;
17.434;7;9.02897;6.69496;
17.533;7;9.06357;6.72321;
17.632;7;9.0981;6.75143;
17.731;7;9.13256;6.7796;
17.83;7;9.16696;6.80775;
17.929;7;9.20129;6.83586;
18.028;7;9.23556;6.86393;
18.127;7;9.26976;6.89197;
18.226;7;9.3039;6.91998;
18.325;7;9.33797;6.94795;
18.424;7;9.37198;6.97589;
18.523;7;9.40593;7.0038;
18.622;7;9.43981;7.03167;
18.721;7;9.47363;7.05952;
18.82;7;9.50739;7.08733;
18.919;7;9.5411;7.1151;
19.018;8;9.57474;7.14285;
19.117;8;9.60832;7.17056;
19.216;8;9.64184;7.19824;
19.315;8;9.67531;7.2259;
19.414;8;9.70872;7.25352;
19.513;8;9.74207;7.2811;
19.612;8;9.77536;7.30866;
19.711;8;9.80859;7.33619;
19.81;8;9.84178;7.36369;
19.909;8;9.8749;7.39116;
20.008;8;9.90797;7.4186;
20.107;8;9.94099;7.44601;
20.206;8;9.97395;7.47339;
20.305;8;10.0069;7.50074;
20.404;8;10.0397;7.52806;
20.503;8;10.0725;7.55535;
20.602;8;10.1053;7.58261;
20.701;8;10.138;7.60985;
20.8;8;10.1706;7.63706;
20.899;8;10.2032;7.66424;
20.998;8;10.2357;7.69139;
21.097;8;10.2682;7.71851;
21.196;8;10.3007;7.74561;
21.295;8;10.3331;7.77268;
21.394;8;10.3654;7.79972;
21.493;8;10.3977;7.82674;
21.592;8;10.43;7.85372;
21.691;8;10.4622;7.88069;
21.79;8;10.4943;7.90762;
21.889;8;10.5264;7.93453;
21.988;8;10.5585;7.96141;
22.087;8;10.5905;7.98827;
22.186;8;10.6224;8.0151;
22.285;8;10.6544;8.04191;
22.384;8;10.6862;8.06869;
22.483;8;10.7181;8.09544;
22.582;8;10.7498;8.12217;
22.681;8;10.7816;8.14887;
22.78;8;10.8133;8.17555;
22.879;8;10.8449;8.20221;
22.978;8;10.8765;8.22884;
23.077;9;10.9081;8.25544;
23.176;9;10.9396;8.28202;
23.275;9;10.9711;8.30858;
23.374;9;11.0025;8.33511;
23.473;9;11.0339;8.36162;
23.572;9;11.0653;8.3881;
23.671;9;11.0966;8.41456;
23.77;9;11.1278;8.441;
23.869;9;11.1591;8.46742;
23.968;9;11.1902;8.49381;
24.067;9;11.2214;8.52017;
24.166;9;11.2525;8.54652;
24.265;9;11.2836;8.57284;
24.364;9;11.3146;8.59914;
24.463;9;11.3456;8.62542;
24.562;9;11.3765;8.65167;
24.661;9;11.4074;8.6779;
24.76;9;11.4383;8.70411;
24.859;9;11.4691;8.7303;
24.958;9;11.4999;8.75646;
25.057;9;11.5307;8.78261;
25.156;9;11.5614;8.80873;
25.255;9;11.5921;8.83483;
25.354;9;11.6227;8.86091;
25.453;9;11.6533;8.88696;
25.552;9;11.6839;8.913;
25.651;9;11.7144;8.93901;
25.75;9;11.7449;8.96501;
25.849;9;11.7753;8.99098;
25.948;9;11.8058;9.01693;
26.047;9;11.8362;9.04286;
26.146;9;11.8665;9.06877;
26.245;9;11.8968;9.09466;
26.344;9;11.9271;9.12053;
26.443;9;11.9574;9.14637;
26.542;9;11.9876;9.1722;
26.641;9;12.0177;9.19801;
26.74;9;12.0479;9.2238;
26.839;9;12.078;9.24957;
26.938;9;12.1081;9.27531;
27.037;9;12.1381;9.30104;
27.136;9;12.1681;9.32675;
27.235;9;12.1981;9.35244;
27.334;9;12.228;9.37811;
27.433;9;12.2579;9.40376;
27.532;9;12.2878;9.42939;
27.631;9;12.3177;9.455;
27.73;9;12.3475;9.48059;
27.829;9;12.3773;9.50617;
27.928;9;12.407;9.53172;
28.027;9;12.4367;9.55726;
28.126;9;12.4664;9.58277;
28.225;9;12.4961;9.60827;
28.324;9;12.5257;9.63375;
28.423;9;12.5553;9.65921;
28.522;9;12.5848;9.68466;
28.621;9;12.6144;9.71008;
28.72;9;12.6439;9.73549;
28.819;9;12.6733;9.76088;
28.918;9;12.7028;9.78625;
29.017;10;12.7322;9.8116;
29.116;10;12.7616;9.83693;
29.215;10;12.7909;9.86225;
29.314;10;12.8203;9.88755;
29.413;10;12.8495;9.91283;
29.512;10;12.8788;9.93809;
29.611;10;12.908;9.96334;
29.71;10;12.9372;9.98857;
29.809;10;12.9664;10.0138;
29.908;10;12.9956;10.039;
30.007;10;13.0247;10.0641;
30.106;10;13.0538;10.0893;
30.205;10;13.0828;10.1145;
30.304;10;13.1119;10.1396;
30.403;10;13.1409;10.1647;
30.502;10;13.1699;10.1898;
30.601;10;13.1988;10.2149;
30.7;10;13.2277;10.2399;
30.799;10;13.2566;10.265;
30.898;10;13.2855;10.29;
30.997;10;13.3144;10.315;
31.096;11;13.3432;10.34;
31.195;11;13.372;10.365;
31.294;11;13.4007;10.3899;
31.393;11;13.4295;10.4149;
31.492;11;13.4582;10.4398;
31.591;11;13.4869;10.4647;
31.69;11;13.5155;10.4896;
31.789;11;13.5442;10.5145;
31.888;11;13.5728;10.5393;
31.987;11;13.6013;10.5642;
32.086;11;13.6299;10.589;
32.185;11;13.6584;10.6138;
32.284;11;13.6869;10.6386;
32.383;11;13.7154;10.6634;
32.482;11;13.7439;10.6882;
32.581;11;13.7723;10.713;
32.68;11;13.8007;10.7377;
32.779;11;13.8291;10.7624;
32.878;11;13.8574;10.7871;
32.977;11;13.8858;10.8118;
33.076;11;13.9141;10.8365;
33.175;11;13.9424;10.8612;
33.274;11;13.9706;10.8858;
33.373;11;13.9989;10.9104;
33.472;11;14.0271;10.9351;
