a,b,c,d,e,f,g,h,i,
10.064,4,4.46611,4.21227,3.96727,3.95974,3.79934,3.35766,3.4794,
10.112,4,4.48166,4.22246,3.96423,3.9269,3.79464,3.35932,3.49327,
10.16,4,4.4972,4.23249,3.96472,3.89753,3.7838,3.37011,3.48622,
10.208,4,4.51271,4.24238,3.96882,3.87307,3.76794,3.38817,3.50469,
10.256,4,4.52821,4.25214,3.97654,3.85481,3.74879,3.40936,3.5094,
10.304,4,4.54369,4.26182,3.98787,3.84388,3.72855,3.42819,3.51711,
10.352,4,4.55916,4.27144,4.00272,3.84121,3.70968,3.43908,3.53282,
10.4,4,4.5746,4.28104,4.02096,3.8475,3.69473,3.43779,3.51524,
10.448,4,4.59003,4.29069,4.04244,3.8632,3.68613,3.42253,3.54099,
10.496,4,4.60545,4.30041,4.06694,3.88848,3.68603,3.39474,3.54835,
10.544,4,4.62084,4.31029,4.09422,3.92325,3.6961,3.35911,3.54045,
10.592,4,4.63622,4.32037,4.12401,3.96717,3.71747,3.32309,3.57415,
10.64,4,4.65158,4.33071,4.15603,4.01965,3.7506,3.29582,3.55136,
10.688,4,4.66693,4.34139,4.18997,4.07985,3.79534,3.28661,3.56882,
10.736,4,4.68226,4.35246,4.22551,4.14675,3.85089,3.3035,3.57095,
10.784,4,4.69757,4.36398,4.26233,4.21918,3.91591,3.35184,3.54905,
10.832,4,4.71287,4.37604,4.30011,4.29581,3.98861,3.43335,3.5812,
10.88,4,4.72815,4.38868,4.33853,4.37525,4.0669,3.54572,3.50649,
10.928,4,4.74341,4.40196,4.37729,4.45604,4.14848,3.68289,3.57347,
10.976,4,4.75866,4.41594,4.41609,4.53674,4.23106,3.83578,3.55249,
11.024,5,4.77389,4.43068,4.45467,4.61592,4.31239,3.99356,4.51297,
11.072,5,4.78911,4.44622,4.49278,4.69224,4.39046,4.14507,4.5027,
11.12,5,4.80431,4.46261,4.5302,4.76446,4.46357,4.28023,4.55305,
11.168,5,4.8195,4.47988,4.56672,4.83147,4.53033,4.39125,4.49551,
11.216,5,4.83467,4.49808,4.60219,4.89233,4.58979,4.47346,4.52428,
11.264,5,4.84983,4.51722,4.63647,4.94628,4.64133,4.52557,4.49888,
11.312,5,4.86497,4.53732,4.66946,4.99275,4.68475,4.54952,4.49643,
11.36,5,4.88009,4.55841,4.70108,5.03139,4.72014,4.54993,4.48033,
11.408,5,4.8952,4.58049,4.7313,5.06202,4.74784,4.53313,4.46692,
11.456,5,4.91029,4.60356,4.76011,5.0847,4.76843,4.50617,4.47239,
11.504,5,4.92537,4.62761,4.78752,5.09966,4.78256,4.47584,4.45853,
11.552,5,4.94044,4.65264,4.81358,5.10732,4.79098,4.4478,4.46356,
11.6,5,4.95549,4.67862,4.83837,5.10827,4.79444,4.42608,4.45665,
11.648,5,4.97053,4.70552,4.86197,5.10321,4.79364,4.41283,4.4571,
11.696,5,4.98555,4.73332,4.88451,5.093,4.78923,4.40836,4.4521,
11.744,5,5.00055,4.76198,4.9061,5.07857,4.78179,4.41154,4.45352,
11.792,5,5.01554,4.79146,4.9269,5.0609,4.77181,4.42021,4.46219,
11.84,5,5.03052,4.82169,4.94705,5.04105,4.75973,4.43179,4.45839,
11.888,5,5.04549,4.85264,4.96673,5.02007,4.74595,4.44375,4.46237,
11.936,5,5.06044,4.88424,4.98609,4.99898,4.73087,4.454,4.46255,
11.984,5,5.07537,4.91642,5.00531,4.97879,4.71488,4.46113,4.47607,
12.032,5,5.09029,4.94911,5.02455,4.96044,4.69848,4.46445,4.47919,
12.08,5,5.1052,4.98226,5.04397,4.94478,4.68218,4.46395,4.48859,
12.128,5,5.12009,5.01577,5.06373,4.93259,4.66661,4.46007,4.49605,
12.176,5,5.13497,5.04958,5.08396,4.92452,4.6525,4.45353,4.50249,
12.224,5,5.14984,5.0836,5.10481,4.9211,4.64063,4.44507,4.50951,
12.272,5,5.16469,5.11776,5.12638,4.92274,4.63186,4.43542,4.51461,
12.32,5,5.17953,5.15197,5.14879,4.92974,4.6271,4.42515,4.53311,
12.368,5,5.19435,5.18615,5.17211,4.94223,4.62722,4.41481,4.53443,
12.416,5,5.20917,5.22022,5.19641,4.96024,4.63308,4.40501,4.54663,
12.464,5,5.22396,5.25409,5.22174,4.98368,4.64542,4.39662,4.53799,
12.512,5,5.23875,5.28769,5.24813,5.01235,4.66486,4.39084,4.55735,
12.56,5,5.25352,5.32093,5.27559,5.04592,4.69184,4.38939,4.54539,
12.608,5,5.26828,5.35374,5.3041,5.08399,4.72657,4.39439,4.56553,
12.656,5,5.28303,5.38604,5.33364,5.1261,4.76903,4.40832,4.54475,
12.704,5,5.29776,5.41776,5.36415,5.17168,4.81895,4.43372,4.57309,
12.752,5,5.31248,5.44883,5.39557,5.22017,4.87579,4.4729,4.54074,
12.8,5,5.32719,5.47918,5.42781,5.27092,4.93877,4.52757,4.57946,
12.848,5,5.34188,5.50875,5.46077,5.3233,5.0069,4.59847,4.53127,
12.896,5,5.35656,5.53747,5.49433,5.37665,5.07898,4.68511,4.60976,
12.944,5,5.37123,5.56531,5.52838,5.43035,5.15366,4.7856,4.49019,
12.992,5,5.38589,5.5922,5.56276,5.48377,5.22952,4.89666,4.90414,
13.04,6,5.40053,5.6181,5.59734,5.53633,5.30507,5.01377,5.63684,
13.088,6,5.41516,5.64296,5.63195,5.58749,5.37887,5.1315,5.52843,
13.136,6,5.42978,5.66676,5.66645,5.63675,5.44954,5.244,5.59454,
13.184,6,5.44439,5.68947,5.70065,5.68368,5.5158,5.34551,5.55421,
13.232,6,5.45898,5.71105,5.7344,5.7279,5.57658,5.43097,5.58693,
13.28,6,5.47356,5.73149,5.76753,5.76911,5.631,5.49647,5.57051,
13.328,6,5.48813,5.75077,5.79988,5.80706,5.6784,5.5397,5.58815,
13.376,6,5.50269,5.76889,5.83128,5.84157,5.7184,5.5602,5.5814,
13.424,6,5.51724,5.78583,5.86159,5.87254,5.75083,5.55933,5.59004,
13.472,6,5.53177,5.80161,5.89065,5.8999,5.77582,5.5402,5.59795,
13.52,6,5.54629,5.81622,5.91832,5.92366,5.79367,5.50732,5.60125,
13.568,6,5.5608,5.82969,5.94449,5.94388,5.80493,5.46607,5.61134,
13.616,6,5.5753,5.84201,5.96902,5.96068,5.81028,5.42221,5.6034,
13.664,6,5.58979,5.85323,5.99182,5.97418,5.81056,5.38122,5.6206,
13.712,6,5.60426,5.86335,6.01279,5.98459,5.80667,5.3478,5.6145,
13.76,6,5.61872,5.87242,6.03185,5.9921,5.79957,5.32543,5.6382,
13.808,6,5.63318,5.88047,6.04895,5.99695,5.7902,5.31604,5.63099,
13.856,6,5.64762,5.88752,6.06402,5.99939,5.77947,5.31991,5.6556,
13.904,6,5.66204,5.89364,6.07705,5.99966,5.76823,5.33575,5.64976,
13.952,6,5.67646,5.89886,6.088,5.99803,5.75719,5.36095,5.66746,
14,6,5.69087,5.90322,6.09688,5.99475,5.74697,5.3919,5.66101,
14.048,6,5.70526,5.90679,6.10369,5.99006,5.73802,5.42453,5.67139,
14.096,6,5.71964,5.90962,6.10848,5.98419,5.73066,5.45478,5.67402,
14.144,6,5.73402,5.91176,6.11127,5.97737,5.72508,5.47904,5.67598,
14.192,6,5.74838,5.91327,6.11213,5.96978,5.72129,5.49463,5.68074,
14.24,6,5.76273,5.91421,6.11111,5.96161,5.71923,5.5,5.67073,
14.288,6,5.77706,5.91465,6.10832,5.95301,5.7187,5.49491,5.68171,
14.336,6,5.79139,5.91465,6.10383,5.94412,5.71943,5.4804,5.67198,
14.384,6,5.80571,5.91427,6.09775,5.93505,5.7211,5.45862,5.68703,
14.432,6,5.82001,5.91358,6.09019,5.92589,5.72335,5.43254,5.6803,
14.48,6,5.83431,5.91265,6.08128,5.91671,5.72582,5.40558,5.69194,
14.528,6,5.84859,5.91153,6.07115,5.90755,5.72817,5.38116,5.69196,
14.576,6,5.86287,5.9103,6.05993,5.89847,5.73008,5.36236,5.69153,
14.624,6,5.87713,5.90902,6.04776,5.88947,5.7313,5.35152,5.69601,
14.672,6,5.89138,5.90776,6.0348,5.88058,5.73164,5.34998,5.6864,
14.72,6,5.90562,5.90657,6.02118,5.87179,5.73096,5.35799,5.69964,
14.768,6,5.91985,5.90553,6.00705,5.8631,5.72921,5.37462,5.68927,
14.816,6,5.93407,5.90468,5.99258,5.85451,5.72641,5.39795,5.69843,
14.864,6,5.94828,5.9041,5.97791,5.84602,5.72264,5.42526,5.69042,
14.912,6,5.96248,5.90384,5.96319,5.83761,5.71803,5.45333,5.69004,
14.96,6,5.97667,5.90396,5.94857,5.82931,5.71275,5.47884,5.69464,
15.008,6,5.99085,5.9045,5.93418,5.82111,5.707,5.49872,5.68454,
15.056,6,6.00502,5.90552,5.92018,5.81303,5.70099,5.51046,5.69697,
15.104,6,6.01918,5.90708,5.90669,5.80511,5.69492,5.51241,5.68635,
15.152,6,6.03333,5.90921,5.89385,5.79739,5.689,5.50396,5.69873,
15.2,6,6.04746,5.91195,5.88177,5.78991,5.68337,5.48558,5.69499,
15.248,6,6.06159,5.91536,5.87057,5.78273,5.67817,5.45878,5.68755,
15.296,6,6.07571,5.91947,5.86036,5.77594,5.67348,5.42597,5.69232,
15.344,6,6.08982,5.9243,5.85124,5.76961,5.66933,5.39019,5.67694,
15.392,6,6.10391,5.9299,5.8433,5.76384,5.66571,5.35484,5.69254,
15.44,6,6.118,5.9363,5.83662,5.75873,5.66256,5.32329,5.67973,
15.488,6,6.13208,5.94351,5.83128,5.75438,5.65978,5.29858,5.67578,
15.536,6,6.14615,5.95156,5.82733,5.75091,5.65727,5.28312,5.67565,
15.584,6,6.16021,5.96047,5.82484,5.74844,5.65488,5.27846,5.65956,
15.632,6,6.17426,5.97026,5.82385,5.74708,5.65247,5.28511,5.67753,
15.68,6,6.18829,5.98093,5.8244,5.74694,5.64991,5.30253,5.65223,
15.728,6,6.20232,5.99251,5.82651,5.74814,5.64711,5.32917,5.6461,
15.776,6,6.21634,6.00498,5.83021,5.75078,5.64398,5.36262,5.64531,
15.824,6,6.23035,6.01836,5.8355,5.75495,5.64051,5.39984,5.63561,
15.872,6,6.24435,6.03265,5.84239,5.76075,5.63674,5.43743,5.68058,
15.92,6,6.25834,6.04785,5.85087,5.76824,5.63278,5.47196,5.62691,
15.968,6,6.27233,6.06394,5.86092,5.77749,5.62878,5.5003,5.59013,
16.016,6,6.2863,6.08092,5.87253,5.78854,5.625,5.51986,5.67063,
16.064,6,6.30026,6.09878,5.88567,5.80141,5.62174,5.52887,5.65972,
16.112,6,6.31421,6.11751,5.90031,5.81613,5.61937,5.52653,5.60911,
16.16,6,6.32816,6.13709,5.91639,5.83268,5.6183,5.51305,5.62064,
16.208,6,6.34209,6.15749,5.93389,5.85103,5.61899,5.48971,5.649,
16.256,6,6.35602,6.17871,5.95275,5.87115,5.62191,5.4587,5.65251,
16.304,6,6.36993,6.2007,5.97291,5.89296,5.62754,5.42296,5.63177,
16.352,6,6.38384,6.22346,5.99433,5.9164,5.63637,5.38597,5.6297,
16.4,6,6.39774,6.24695,6.01693,5.94135,5.64882,5.35144,5.62023,
16.448,6,6.41163,6.27115,6.04065,5.96772,5.66529,5.32305,5.62944,
16.496,6,6.4255,6.29601,6.06543,5.99537,5.6861,5.30418,5.64539,
16.544,6,6.43938,6.32152,6.0912,6.02415,5.71148,5.29761,5.61711,
16.592,6,6.45324,6.34763,6.11789,6.05394,5.7416,5.30538,5.62786,
16.64,6,6.46709,6.37431,6.14543,6.08455,5.77647,5.32864,5.62396,
16.688,6,6.48093,6.40153,6.17375,6.11583,5.81602,5.36755,5.61003,
16.736,6,6.49477,6.42924,6.20278,6.1476,5.86004,5.42135,5.65258,
16.784,6,6.50859,6.45741,6.23246,6.1797,5.90823,5.4884,5.60993,
16.832,6,6.52241,6.48601,6.26271,6.21195,5.96013,5.56633,5.61337,
16.88,6,6.53622,6.51498,6.29346,6.24418,6.01521,5.65223,5.66126,
16.928,6,6.55002,6.5443,6.32466,6.27622,6.07281,5.74286,5.54319,
16.976,6,6.56381,6.57391,6.35623,6.30792,6.13221,5.83489,5.78902,
17.024,7,6.57759,6.60379,6.38811,6.33913,6.19261,5.92512,6.47187,
17.072,7,6.59136,6.63389,6.42025,6.3697,6.25317,6.01066,6.70879,
17.12,7,6.60513,6.66416,6.45258,6.39951,6.31303,6.08911,6.5749,
17.168,7,6.61889,6.69458,6.48506,6.42844,6.37131,6.15868,6.62298,
17.216,7,6.63263,6.7251,6.51763,6.45641,6.42716,6.21823,6.64652,
17.264,7,6.64637,6.75568,6.55023,6.48333,6.47978,6.26731,6.60221,
17.312,7,6.6601,6.78627,6.58283,6.50914,6.52843,6.30607,6.6423,
17.36,7,6.67383,6.81686,6.61539,6.53379,6.57246,6.33523,6.62934,
17.408,7,6.68754,6.84738,6.64785,6.55725,6.61133,6.35592,6.61272,
17.456,7,6.70124,6.87782,6.68018,6.57953,6.6446,6.36957,6.65028,
17.504,7,6.71494,6.90813,6.71236,6.60062,6.67199,6.37773,6.63539,
