a,b,c,d,e,f,g,h,i,
22.064,8,7.98203,8.13529,8.07018,7.8285,7.49344,7.26611,7.56745,
22.112,8,7.99505,8.14383,8.07588,7.84202,7.49499,7.24721,7.57352,
22.16,8,8.00806,8.1525,8.08199,7.85722,7.49895,7.22934,7.5808,
22.208,8,8.02106,8.16132,8.08852,7.87407,7.50558,7.21368,7.57004,
22.256,8,8.03406,8.17028,8.09547,7.89251,7.51514,7.20145,7.57357,
22.304,8,8.04705,8.17937,8.10287,7.91247,7.52781,7.19379,7.59269,
22.352,8,8.06003,8.18858,8.11072,7.93387,7.54376,7.19176,7.58302,
22.4,8,8.07301,8.19792,8.11903,7.95663,7.56308,7.1963,7.56021,
22.448,8,8.08598,8.20738,8.12781,7.98066,7.58583,7.20816,7.56962,
22.496,8,8.09895,8.21696,8.13706,8.00586,7.61201,7.22788,7.57764,
22.544,8,8.11191,8.22664,8.14679,8.03212,7.64155,7.25578,7.55297,
22.592,8,8.12487,8.23642,8.15699,8.05934,7.67434,7.29193,7.55421,
22.64,8,8.13782,8.2463,8.16768,8.08739,7.71022,7.33617,7.5915,
22.688,8,8.15076,8.25626,8.17884,8.11616,7.74898,7.38806,7.57999,
22.736,8,8.1637,8.26631,8.19048,8.14554,7.79035,7.44696,7.53731,
22.784,8,8.17663,8.27644,8.20259,8.17539,7.83404,7.51203,7.5692,
22.832,8,8.18955,8.28664,8.21516,8.20559,7.87969,7.58221,7.61021,
22.88,8,8.20247,8.29691,8.22818,8.23602,7.92694,7.65634,7.52878,
22.928,8,8.21539,8.30723,8.24165,8.26655,7.97538,7.73312,7.49509,
22.976,8,8.2283,8.3176,8.25555,8.29707,8.0246,7.81122,7.80567,
23.024,9,8.2412,8.32802,8.26987,8.32744,8.07417,7.88928,8.33664,
23.072,9,8.2541,8.33847,8.28459,8.35757,8.12364,7.96593,8.64192,
23.12,9,8.26699,8.34896,8.29971,8.38733,8.17257,8.03991,8.60168,
23.168,9,8.27987,8.35947,8.31519,8.41662,8.22055,8.11003,8.51469,
23.216,9,8.29275,8.37,8.33103,8.44533,8.26714,8.17523,8.5585,
23.264,9,8.30563,8.38053,8.34719,8.47336,8.31195,8.23461,8.606,
23.312,9,8.3185,8.39108,8.36367,8.50063,8.35462,8.28744,8.57535,
23.36,9,8.33136,8.40162,8.38043,8.52705,8.3948,8.3332,8.55874,
23.408,9,8.34422,8.41215,8.39746,8.55253,8.43219,8.37153,8.58843,
23.456,9,8.35707,8.42267,8.41472,8.57702,8.46652,8.40228,8.58842,
23.504,9,8.36991,8.43317,8.4322,8.60043,8.49758,8.42549,8.55545,
23.552,9,8.38275,8.44364,8.44986,8.62273,8.5252,8.44137,8.55686,
23.6,9,8.39559,8.45408,8.46769,8.64385,8.54924,8.4503,8.58542,
23.648,9,8.40842,8.46448,8.48564,8.66377,8.56964,8.45279,8.58856,
23.696,9,8.42124,8.47485,8.5037,8.68244,8.58636,8.44946,8.57939,
23.744,9,8.43406,8.48516,8.52184,8.69984,8.59942,8.44104,8.5917,
23.792,9,8.44687,8.49542,8.54002,8.71596,8.6089,8.4283,8.60192,
23.84,9,8.45968,8.50563,8.55821,8.73079,8.61491,8.41208,8.5868,
23.888,9,8.47248,8.51577,8.5764,8.74432,8.61761,8.39321,8.57651,
23.936,9,8.48528,8.52585,8.59454,8.75657,8.6172,8.37252,8.59113,
23.984,9,8.49807,8.53586,8.6126,8.76753,8.6139,8.35083,8.60418,
24.032,9,8.51086,8.5458,8.63057,8.77725,8.60798,8.32889,8.60169,
24.08,9,8.52364,8.55566,8.64841,8.78573,8.59973,8.3074,8.60219,
24.128,9,8.53641,8.56545,8.66609,8.79302,8.58946,8.28699,8.60707,
24.176,9,8.54918,8.57515,8.68358,8.79914,8.57751,8.2682,8.599,
24.224,9,8.56194,8.58477,8.70085,8.80416,8.5642,8.2515,8.5857,
24.272,9,8.5747,8.5943,8.71789,8.8081,8.5499,8.23726,8.58877,
24.32,9,8.58745,8.60375,8.73465,8.81103,8.53493,8.22576,8.60432,
24.368,9,8.6002,8.6131,8.75112,8.813,8.51965,8.21721,8.61666,
24.416,9,8.61294,8.62237,8.76728,8.81408,8.50438,8.21172,8.62487,
24.464,9,8.62568,8.63154,8.78309,8.81432,8.48944,8.20934,8.62714,
24.512,9,8.63841,8.64063,8.79853,8.81379,8.47513,8.21004,8.61383,
24.56,9,8.65114,8.64962,8.81359,8.81255,8.46173,8.21373,8.59273,
24.608,9,8.66386,8.65851,8.82824,8.81068,8.44947,8.22027,8.58339,
24.656,9,8.67658,8.66732,8.84246,8.80825,8.43859,8.22945,8.58617,
24.704,9,8.68929,8.67603,8.85624,8.80531,8.42926,8.24105,8.59699,
24.752,9,8.70199,8.68465,8.86956,8.80195,8.42164,8.25478,8.62938,
24.8,9,8.71469,8.69318,8.88239,8.79824,8.41585,8.27036,8.66898,
24.848,9,8.72739,8.70163,8.89474,8.79423,8.41196,8.28745,8.65153,
24.896,9,8.74008,8.70998,8.90658,8.79,8.41003,8.30571,8.5633,
24.944,9,8.75277,8.71826,8.91791,8.78561,8.41007,8.32478,8.51011,
24.992,9,8.76544,8.72645,8.92871,8.78112,8.41204,8.34429,8.5822,
25.04,9,8.77812,8.73455,8.93899,8.77661,8.41589,8.36387,8.69705,
25.088,9,8.79079,8.74258,8.94872,8.77211,8.42153,8.38313,8.70073,
25.136,9,8.80345,8.75054,8.9579,8.76769,8.42884,8.4017,8.59456,
25.184,9,8.81611,8.75842,8.96654,8.7634,8.43767,8.41922,8.52478,
25.232,9,8.82877,8.76624,8.97464,8.75928,8.44784,8.43532,8.55864,
25.28,9,8.84142,8.77399,8.98218,8.75539,8.45917,8.44967,8.61274,
25.328,9,8.85406,8.78168,8.98917,8.75176,8.47146,8.46197,8.61587,
25.376,9,8.8667,8.78931,8.99562,8.74842,8.48447,8.47191,8.60477,
25.424,9,8.87933,8.79689,9.00153,8.74542,8.49797,8.47926,8.62019,
25.472,9,8.89196,8.80442,9.00691,8.74277,8.51174,8.48382,8.62837,
25.52,9,8.90459,8.81191,9.01176,8.7405,8.52552,8.48543,8.60097,
25.568,9,8.9172,8.81936,9.0161,8.73863,8.5391,8.48398,8.57789,
25.616,9,8.92982,8.82677,9.01993,8.73718,8.55222,8.47945,8.59355,
25.664,9,8.94243,8.83416,9.02326,8.73616,8.56469,8.47186,8.61569,
25.712,9,8.95503,8.84152,9.02612,8.73558,8.57627,8.4613,8.60945,
25.76,9,8.96763,8.84886,9.02851,8.73544,8.5868,8.44793,8.59719,
25.808,9,8.98022,8.85619,9.03045,8.73574,8.59607,8.43199,8.60645,
25.856,9,8.99281,8.86351,9.03196,8.73648,8.60396,8.41378,8.61628,
25.904,9,9.0054,8.87083,9.03306,8.73765,8.61032,8.39366,8.6036,
25.952,9,9.01798,8.87815,9.03377,8.73924,8.61504,8.37205,8.59256,
26,9,9.03055,8.88548,9.03411,8.74124,8.61805,8.34943,8.60992,
26.048,9,9.04312,8.89282,9.03409,8.74363,8.61929,8.3263,8.6343,
26.096,9,9.05569,8.90019,9.03375,8.7464,8.61873,8.30321,8.6355,
26.144,9,9.06825,8.90758,9.03311,8.74953,8.61638,8.28073,8.62627,
26.192,9,9.0808,8.915,9.0322,8.753,8.61225,8.25942,8.63077,
26.24,9,9.09335,8.92246,9.03103,8.75677,8.6064,8.23982,8.63611,
26.288,9,9.1059,8.92997,9.02964,8.76083,8.59891,8.22248,8.62065,
26.336,9,9.11844,8.93752,9.02805,8.76515,8.58988,8.20789,8.60133,
26.384,9,9.13097,8.94514,9.02629,8.76971,8.57943,8.19646,8.60653,
26.432,9,9.1435,8.95281,9.02439,8.77447,8.5677,8.18859,8.62609,
26.48,9,9.15603,8.96055,9.02237,8.77941,8.55486,8.18455,8.63342,
26.528,9,9.16855,8.96836,9.02028,8.78451,8.54107,8.18455,8.63562,
26.576,9,9.18107,8.97626,9.01812,8.78973,8.52654,8.18868,8.65484,
26.624,9,9.19358,8.98423,9.01595,8.79504,8.51146,8.19697,8.67879,
26.672,9,9.20609,8.9923,9.01377,8.80043,8.49604,8.20929,8.67956,
26.72,9,9.21859,9.00046,9.01164,8.80587,8.4805,8.22545,8.66681,
26.768,9,9.23109,9.00873,9.00956,8.81134,8.46503,8.24513,8.66775,
26.816,9,9.24358,9.0171,9.00758,8.8168,8.44988,8.26794,8.66537,
26.864,9,9.25607,9.02558,9.00573,8.82225,8.43523,8.29339,8.62154,
26.912,9,9.26855,9.03418,9.00402,8.82767,8.42131,8.32092,8.56395,
26.96,9,9.28103,9.0429,9.0025,8.83303,8.4083,8.34991,8.57701,
27.008,9,9.29351,9.05175,9.00119,8.83832,8.39639,8.37969,8.67845,
27.056,9,9.30598,9.06073,9.00011,8.84354,8.38576,8.40957,8.77037,
27.104,9,9.31844,9.06984,8.99931,8.84867,8.37657,8.43885,8.76026,
27.152,9,9.3309,9.0791,8.99879,8.8537,8.36896,8.46684,8.68135,
27.2,9,9.34336,9.08849,8.99859,8.85864,8.36305,8.49289,8.63488,
27.248,9,9.35581,9.09804,8.99874,8.86348,8.35897,8.51638,8.64903,
27.296,9,9.36826,9.10774,8.99926,8.86821,8.35678,8.53677,8.66536,
27.344,9,9.3807,9.11759,9.00017,8.87285,8.35657,8.55359,8.65011,
27.392,9,9.39314,9.12761,9.00151,8.8774,8.35838,8.5665,8.64089,
27.44,9,9.40557,9.13778,9.00328,8.88187,8.36223,8.57522,8.66858,
27.488,9,9.418,9.14813,9.00551,8.88626,8.36813,8.57961,8.70085,
27.536,9,9.43042,9.15864,9.00823,8.8906,8.37608,8.57967,8.69932,
27.584,9,9.44284,9.16932,9.01145,8.89491,8.38603,8.57549,8.68392,
27.632,9,9.45526,9.18018,9.01518,8.89919,8.39794,8.56731,8.69409,
27.68,9,9.46767,9.19121,9.01946,8.90347,8.41174,8.55547,8.71895,
27.728,9,9.48008,9.20242,9.02429,8.90778,8.42734,8.54043,8.7174,
27.776,9,9.49248,9.21381,9.02969,8.91214,8.44465,8.52277,8.69044,
27.824,9,9.50488,9.22538,9.03567,8.91657,8.46355,8.50312,8.68025,
27.872,9,9.51727,9.23714,9.04225,8.92112,8.48393,8.48221,8.6988,
27.92,9,9.52966,9.24908,9.04944,8.92579,8.50564,8.46081,8.70919,
27.968,9,9.54204,9.26121,9.05724,8.93064,8.52856,8.43975,8.6909,
28.016,9,9.55442,9.27352,9.06566,8.93569,8.55254,8.41983,8.67673,
28.064,9,9.5668,9.28602,9.07473,8.94097,8.57742,8.4019,8.69747,
28.112,9,9.57917,9.29871,9.08443,8.94652,8.60306,8.38673,8.72759,
28.16,9,9.59153,9.31159,9.09477,8.95239,8.6293,8.37507,8.7251,
28.208,9,9.6039,9.32465,9.10577,8.95859,8.656,8.36761,8.70078,
28.256,9,9.61625,9.3379,9.11741,8.96517,8.68301,8.36494,8.70046,
28.304,9,9.62861,9.35134,9.12971,8.97216,8.7102,8.36757,8.72768,
28.352,9,9.64096,9.36496,9.14265,8.97961,8.73742,8.37587,8.7354,
28.4,9,9.6533,9.37877,9.15625,8.98754,8.76456,8.39011,8.70438,
28.448,9,9.66564,9.39276,9.17049,8.99599,8.79149,8.41043,8.68031,
28.496,9,9.67798,9.40694,9.18538,9.005,8.81812,8.43684,8.70343,
28.544,9,9.69031,9.42129,9.20091,9.01459,8.84434,8.4692,8.73979,
28.592,9,9.70263,9.43583,9.21706,9.0248,8.87009,8.50726,8.73053,
28.64,9,9.71496,9.45054,9.23384,9.03566,8.89527,8.55064,8.68933,
28.688,9,9.72728,9.46543,9.25123,9.04719,8.91986,8.59883,8.69074,
28.736,9,9.73959,9.48049,9.26923,9.05944,8.94379,8.65123,8.75224,
28.784,9,9.7519,9.49572,9.28782,9.0724,8.96704,8.70715,8.78827,
28.832,9,9.76421,9.51111,9.30699,9.08613,8.9896,8.76583,8.72837,
28.88,9,9.77651,9.52667,9.32673,9.10062,9.01146,8.82645,8.6504,
28.928,9,9.78881,9.5424,9.34702,9.1159,9.03264,8.88814,8.73104,
28.976,9,9.8011,9.55827,9.36784,9.13199,9.05315,8.95003,9.04704,
29.024,10,9.81339,9.57431,9.38919,9.1489,9.07303,9.01126,9.46548,
29.072,10,9.82567,9.59049,9.41104,9.16664,9.09233,9.07097,9.76231,
29.12,10,9.83795,9.60682,9.43338,9.18522,9.11109,9.12836,9.83395,
29.168,10,9.85023,9.62329,9.45619,9.20464,9.12939,9.18269,9.76663,
29.216,10,9.8625,9.63991,9.47944,9.2249,9.14728,9.23327,9.71129,
29.264,10,9.87477,9.65665,9.50311,9.24601,9.16486,9.27954,9.72963,
29.312,10,9.88704,9.67353,9.5272,9.26795,9.18219,9.32101,9.77415,
29.36,10,9.8993,9.69053,9.55166,9.29073,9.19937,9.35732,9.78409,
29.408,10,9.91155,9.70765,9.57649,9.31433,9.21647,9.38823,9.76054,
29.456,10,9.9238,9.72488,9.60165,9.33875,9.2336,9.41361,9.74589,
29.504,10,9.93605,9.74223,9.62713,9.36396,9.25084,9.43345,9.76036,
29.552,10,9.94829,9.75968,9.6529,9.38994,9.26828,9.44789,9.78186,
29.6,10,9.96053,9.77723,9.67893,9.41668,9.286,9.45716,9.78233,
29.648,10,9.97277,9.79487,9.70521,9.44415,9.30408,9.46161,9.76425,
29.696,10,9.985,9.81261,9.7317,9.47232,9.3226,9.4617,9.7531,
29.744,10,9.99723,9.83043,9.75838,9.50117,9.34164,9.45796,9.76259,
29.792,10,10.0094,9.84833,9.78523,9.53067,9.36126,9.45102,9.77894,
29.84,10,10.0217,9.8663,9.81222,9.56077,9.38151,9.44156,9.78119,
29.888,10,10.0339,9.88433,9.83932,9.59144,9.40246,9.4303,9.76917,
29.936,10,10.0461,9.90243,9.86651,9.62265,9.42413,9.418,9.76297,
29.984,10,10.0583,9.92059,9.89376,9.65435,9.44656,9.40543,9.7754,
30.032,10,10.0705,9.93879,9.92105,9.6865,9.46978,9.39336,9.79385,
30.08,10,10.0827,9.95704,9.94835,9.71906,9.4938,9.38253,9.79647,
30.128,10,10.0949,9.97532,9.97563,9.75198,9.51862,9.37365,9.78228,
30.176,10,10.1071,9.99364,10.0029,9.78521,9.54425,9.36738,9.77401,
30.224,10,10.1193,10.012,10.0301,9.8187,9.57066,9.36432,9.78706,
30.272,10,10.1315,10.0303,10.0571,9.85241,9.59782,9.36499,9.80597,
30.32,10,10.1436,10.0487,10.0841,9.88629,9.62572,9.36984,9.80343,
30.368,10,10.1558,10.0671,10.111,9.92027,9.65431,9.37921,9.77929,
30.416,10,10.168,10.0855,10.1376,9.95432,9.68353,9.39336,9.76456,
30.464,10,10.1801,10.1039,10.1641,9.98838,9.71333,9.41244,9.77943,
30.512,10,10.1923,10.1222,10.1904,10.0224,9.74365,9.43652,9.80106,
30.56,10,10.2045,10.1406,10.2164,10.0563,9.77441,9.46553,9.7914,
30.608,10,10.2166,10.1589,10.2422,10.0901,9.80555,9.49936,9.75372,
30.656,10,10.2288,10.1772,10.2677,10.1236,9.83697,9.53777,9.73759,
30.704,10,10.2409,10.1955,10.293,10.157,9.86861,9.58045,9.77314,
30.752,10,10.2531,10.2137,10.3179,10.19,9.90036,9.62703,9.81713,
30.8,10,10.2652,10.2318,10.3424,10.2226,9.93215,9.67704,9.79631,
30.848,10,10.2773,10.25,10.3666,10.2549,9.96389,9.72999,9.7139,
30.896,10,10.2895,10.268,10.3905,10.2867,9.99548,9.78534,9.6878,
30.944,10,10.3016,10.286,10.4139,10.318,10.0268,9.84251,9.85055,
30.992,10,10.3137,10.304,10.437,10.3488,10.0579,9.9009,10.2036,
31.04,11,10.3258,10.3218,10.4596,10.379,10.0885,9.95992,10.5891,
31.088,11,10.338,10.3396,10.4818,10.4085,10.1186,10.019,10.8218,
31.136,11,10.3501,10.3573,10.5035,10.4374,10.1482,10.0775,10.8486,
31.184,11,10.3622,10.3749,10.5248,10.4656,10.1771,10.1349,10.7721,
31.232,11,10.3743,10.3924,10.5456,10.493,10.2053,10.1907,10.7276,
31.28,11,10.3864,10.4098,10.5659,10.5197,10.2328,10.2444,10.7559,
31.328,11,10.3985,10.4271,10.5857,10.5455,10.2594,10.2956,10.8006,
31.376,11,10.4106,10.4443,10.6051,10.5705,10.2851,10.3439,10.8028,
31.424,11,10.4227,10.4613,10.6238,10.5947,10.3099,10.389,10.7706,
31.472,11,10.4348,10.4783,10.6421,10.618,10.3338,10.4308,10.7518,
31.52,11,10.4468,10.4951,10.6598,10.6403,10.3566,10.4689,10.7647,
31.568,11,10.4589,10.5118,10.677,10.6617,10.3784,10.5034,10.7812,
31.616,11,10.471,10.5283,10.6937,10.6822,10.3992,10.5341,10.7715,
31.664,11,10.4831,10.5447,10.7098,10.7017,10.4189,10.561,10.7443,
31.712,11,10.4951,10.561,10.7253,10.7202,10.4376,10.5843,10.7291,
31.76,11,10.5072,10.5772,10.7403,10.7378,10.4552,10.604,10.7314,
31.808,11,10.5193,10.5931,10.7547,10.7543,10.4718,10.6204,10.7264,
31.856,11,10.5313,10.609,10.7686,10.7699,10.4873,10.6335,10.698,
31.904,11,10.5434,10.6246,10.7819,10.7845,10.5019,10.6437,10.67,
31.952,11,10.5554,10.6401,10.7947,10.798,10.5155,10.6512,10.6834,
32,11,10.5675,10.6555,10.8069,10.8106,10.5281,10.6563,10.7459,
32.048,11,10.5795,10.6707,10.8185,10.8222,10.5398,10.6593,10.8165,
32.096,11,10.5915,10.6857,10.8296,10.8329,10.5506,10.6605,10.8455,
32.144,11,10.6036,10.7005,10.8402,10.8425,10.5606,10.6601,10.8242,
32.192,11,10.6156,10.7152,10.8502,10.8512,10.5698,10.6586,10.7872,
32.24,11,10.6276,10.7297,10.8597,10.859,10.5783,10.6561,10.7704,
32.288,11,10.6396,10.744,10.8686,10.8659,10.5861,10.6528,10.7752,
32.336,11,10.6517,10.7581,10.877,10.8718,10.5932,10.6492,10.7774,
32.384,11,10.6637,10.772,10.8849,10.8769,10.5997,10.6452,10.7619,
32.432,11,10.6757,10.7858,10.8923,10.8812,10.6057,10.6412,10.7398,
32.48,11,10.6877,10.7994,10.8993,10.8846,10.6111,10.6373,10.7305,
32.528,11,10.6997,10.8127,10.9057,10.8872,10.6162,10.6337,10.7365,
32.576,11,10.7117,10.8259,10.9116,10.8891,10.6208,10.6303,10.7426,
32.624,11,10.7237,10.8389,10.9171,10.8902,10.625,10.6273,10.7375,
32.672,11,10.7357,10.8517,10.9221,10.8906,10.6289,10.6247,10.7272,
32.72,11,10.7477,10.8644,10.9267,10.8904,10.6325,10.6225,10.7257,
32.768,11,10.7597,10.8768,10.9309,10.8895,10.6358,10.6207,10.7358,
32.816,11,10.7717,10.889,10.9346,10.888,10.6389,10.6194,10.7465,
32.864,11,10.7836,10.9011,10.9379,10.8859,10.6418,10.6183,10.7475,
32.912,11,10.7956,10.9129,10.9409,10.8834,10.6445,10.6176,10.7422,
32.96,11,10.8076,10.9246,10.9434,10.8803,10.647,10.617,10.7416,
33.008,11,10.8196,10.936,10.9457,10.8768,10.6494,10.6166,10.7501,
33.056,11,10.8315,10.9473,10.9475,10.8729,10.6517,10.6162,10.76,
33.104,11,10.8435,10.9584,10.9491,10.8686,10.6538,10.6158,10.7619,
33.152,11,10.8554,10.9692,10.9503,10.864,10.6558,10.6153,10.7562,
33.2,11,10.8674,10.9799,10.9512,10.8591,10.6577,10.6146,10.7519,
33.248,11,10.8793,10.9904,10.9519,10.854,10.6594,10.6137,10.7544,
33.296,11,10.8913,11.0007,10.9522,10.8486,10.661,10.6126,10.759,
33.344,11,10.9032,11.0109,10.9524,10.8431,10.6625,10.6111,10.7576,
33.392,11,10.9152,11.0208,10.9523,10.8374,10.6638,10.6093,10.749,
33.44,11,10.9271,11.0305,10.952,10.8317,10.6649,10.6072,10.7408,
33.488,11,10.939,11.0401,10.9515,10.8258,10.6658,10.6047,10.7393,
33.536,11,10.951,11.0495,10.9508,10.82,10.6666,10.6019,10.7425,
33.584,11,10.9629,11.0587,10.9499,10.8142,10.6671,10.5988,10.7429,
33.632,11,10.9748,11.0677,10.9489,10.8085,10.6674,10.5955,10.7374,
33.68,11,10.9867,11.0766,10.9478,10.8028,10.6674,10.592,10.7306,
33.728,11,10.9987,11.0853,10.9466,10.7973,10.6672,10.5884,10.7287,
33.776,11,11.0106,11.0938,10.9452,10.7919,10.6666,10.5847,10.7314,
33.824,11,11.0225,11.1021,10.9438,10.7867,10.6658,10.581,10.7325,
33.872,11,11.0344,11.1103,10.9424,10.7817,10.6646,10.5773,10.728,
33.92,11,11.0463,11.1183,10.9409,10.777,10.6631,10.5738,10.7206,
33.968,11,11.0582,11.1261,10.9393,10.7725,10.6613,10.5705,10.7168,
34.016,11,11.0701,11.1338,10.9378,10.7684,10.6591,10.5674,10.7186,
34.064,11,11.082,11.1414,10.9362,10.7646,10.6565,10.5647,10.7216,
34.112,11,11.0939,11.1488,10.9347,10.7611,10.6537,10.5623,10.7206,
34.16,11,11.1058,11.156,10.9332,10.758,10.6504,10.5602,10.7162,
34.208,11,11.1176,11.1631,10.9318,10.7553,10.6468,10.5586,10.7135,
34.256,11,11.1295,11.1701,10.9304,10.753,10.6429,10.5574,10.7158,
34.304,11,11.1414,11.1769,10.9291,10.7511,10.6387,10.5566,10.7201,
34.352,11,11.1533,11.1836,10.9279,10.7497,10.6341,10.5561,10.7209,
34.4,11,11.1651,11.1902,10.9269,10.7487,10.6293,10.5561,10.7169,
34.448,11,11.177,11.1966,10.9259,10.7483,10.6242,10.5563,10.7124,
34.496,11,11.1889,11.203,10.9251,10.7482,10.6189,10.5568,10.7121,
34.544,11,11.2007,11.2092,10.9244,10.7487,10.6134,10.5574,10.715,
34.592,11,11.2126,11.2153,10.9239,10.7497,10.6078,10.5583,10.7161,
34.64,11,11.2244,11.2212,10.9236,10.7512,10.6021,10.5591,10.7121,
34.688,11,11.2363,11.2271,10.9235,10.7532,10.5963,10.5599,10.7056,
34.736,11,11.2481,11.2329,10.9236,10.7557,10.5905,10.5607,10.7018,
34.784,11,11.26,11.2386,10.9239,10.7587,10.5847,10.5612,10.7019,
34.832,11,11.2718,11.2442,10.9244,10.7622,10.5791,10.5615,10.7017,
34.88,11,11.2836,11.2497,10.9251,10.7662,10.5736,10.5614,10.6967,
34.928,11,11.2955,11.2551,10.9261,10.7708,10.5683,10.5609,10.688,
34.976,11,11.3073,11.2605,10.9273,10.7758,10.5633,10.56,10.6811,
35.024,11,11.3191,11.2658,10.9288,10.7814,10.5587,10.5586,10.6798,
35.072,11,11.331,11.271,10.9306,10.7875,10.5544,10.5566,10.6817,
35.12,11,11.3428,11.2761,10.9326,10.794,10.5507,10.5541,10.681,
35.168,11,11.3546,11.2812,10.9349,10.801,10.5475,10.5511,10.6756,
35.216,11,11.3664,11.2863,10.9376,10.8085,10.5448,10.5476,10.6698,
35.264,11,11.3782,11.2913,10.9405,10.8164,10.5429,10.5436,10.6689,
35.312,11,11.39,11.2962,10.9437,10.8248,10.5416,10.5392,10.6726,
35.36,11,11.4018,11.3011,10.9472,10.8336,10.5412,10.5344,10.675,
35.408,11,11.4136,11.306,10.9511,10.8428,10.5415,10.5294,10.6711,
35.456,11,11.4254,11.3108,10.9552,10.8524,10.5428,10.5243,10.6629,
35.504,11,11.4372,11.3157,10.9597,10.8624,10.545,10.5192,10.6577,
35.552,11,11.449,11.3205,10.9645,10.8728,10.5483,10.5141,10.6595,
35.6,11,11.4608,11.3252,10.9696,10.8835,10.5525,10.5094,10.6643,
35.648,11,11.4726,11.33,10.9751,10.8946,10.5578,10.5051,10.6644,
35.696,11,11.4843,11.3348,10.9809,10.906,10.5643,10.5014,10.6575,
35.744,11,11.4961,11.3396,10.9871,10.9177,10.5718,10.4985,10.6496,
35.792,11,11.5079,11.3443,10.9935,10.9297,10.5806,10.4965,10.649,
35.84,11,11.5197,11.3491,11.0003,10.9419,10.5905,10.4957,10.6559,
35.888,11,11.5314,11.3539,11.0075,10.9544,10.6015,10.4961,10.6616,
35.936,11,11.5432,11.3587,11.015,10.9671,10.6138,10.498,10.6575,
35.984,11,11.555,11.3636,11.0228,10.98,10.6273,10.5015,10.6458,
36.032,11,11.5667,11.3684,11.031,10.9931,10.642,10.5068,10.6375,
36.08,11,11.5785,11.3733,11.0395,11.0064,10.6578,10.514,10.6409,
36.128,11,11.5902,11.3783,11.0483,11.0199,10.6748,10.5232,10.6514,
36.176,11,11.602,11.3832,11.0574,11.0334,10.693,10.5346,10.6554,
36.224,11,11.6137,11.3882,11.0669,11.0471,10.7122,10.5481,10.645,
36.272,11,11.6255,11.3933,11.0767,11.0609,10.7325,10.5638,10.6285,
36.32,11,11.6372,11.3984,11.0869,11.0748,10.7539,10.5819,10.6225,
36.368,11,11.6489,11.4036,11.0973,11.0887,10.7762,10.6022,10.6339,
36.416,11,11.6607,11.4089,11.1081,11.1027,10.7994,10.6248,10.6501,
36.464,11,11.6724,11.4142,11.1191,11.1167,10.8235,10.6497,10.6497,
36.512,11,11.6841,11.4196,11.1305,11.1307,10.8484,10.6767,10.6269,
36.56,11,11.6959,11.425,11.1422,11.1448,10.874,10.7059,10.6012,
36.608,11,11.7076,11.4306,11.1542,11.1588,10.9003,10.737,10.6007,
36.656,11,11.7193,11.4362,11.1664,11.1727,10.9272,10.7701,10.6315,
36.704,11,11.731,11.4419,11.179,11.1867,10.9546,10.8048,10.6635,
36.752,11,11.7427,11.4477,11.1918,11.2006,10.9824,10.8411,10.655,
36.8,11,11.7544,11.4536,11.2049,11.2144,11.0106,10.8788,10.5979,
36.848,11,11.7661,11.4596,11.2182,11.2281,11.039,10.9177,10.5431,
36.896,11,11.7778,11.4657,11.2319,11.2418,11.0676,10.9575,10.577,
36.944,11,11.7895,11.4719,11.2457,11.2553,11.0963,10.9981,10.7583,
36.992,11,11.8012,11.4782,11.2598,11.2687,11.125,11.0392,11.0647,
37.04,12,11.8129,11.4846,11.2742,11.2821,11.1535,11.0806,11.3959,
37.088,12,11.8246,11.4912,11.2888,11.2953,11.1819,11.122,11.634,
37.136,12,11.8363,11.4978,11.3036,11.3083,11.21,11.1633,11.7186,
37.184,12,11.848,11.5046,11.3186,11.3213,11.2378,11.2041,11.6793,
37.232,12,11.8597,11.5115,11.3338,11.3341,11.2651,11.2443,11.6036,
37.28,12,11.8714,11.5185,11.3492,11.3467,11.2919,11.2837,11.5688,
37.328,12,11.883,11.5257,11.3649,11.3592,11.3181,11.322,11.5932,
37.376,12,11.8947,11.533,11.3807,11.3716,11.3436,11.359,11.6397,
37.424,12,11.9064,11.5404,11.3966,11.3838,11.3684,11.3946,11.661,
37.472,12,11.918,11.548,11.4128,11.3959,11.3924,11.4286,11.642,
37.52,12,11.9297,11.5557,11.4291,11.4078,11.4154,11.4607,11.6074,
37.568,12,11.9414,11.5635,11.4455,11.4195,11.4375,11.491,11.5922,
37.616,12,11.953,11.5715,11.4621,11.4311,11.4587,11.5192,11.6079,
37.664,12,11.9647,11.5796,11.4789,11.4426,11.4787,11.5453,11.6356,
37.712,12,11.9763,11.5879,11.4957,11.4539,11.4977,11.5692,11.6472,
37.76,12,11.988,11.5964,11.5127,11.465,11.5156,11.5909,11.6329,
37.808,12,11.9996,11.605,11.5298,11.4761,11.5323,11.6102,11.6087,
37.856,12,12.0113,11.6137,11.547,11.487,11.5478,11.6271,11.5987,
37.904,12,12.0229,11.6226,11.5643,11.4978,11.5621,11.6418,11.6117,
37.952,12,12.0345,11.6317,11.5816,11.5084,11.5752,11.6541,11.6338,
38,12,12.0462,11.6409,11.5991,11.5189,11.587,11.6641,11.6437,
38.048,12,12.0578,11.6503,11.6166,11.5294,11.5976,11.6719,11.6331,
38.096,12,12.0694,11.6598,11.6342,11.5397,11.607,11.6775,11.6135,
38.144,12,12.0811,11.6695,11.6519,11.55,11.6152,11.681,11.6045,
